mpid,category,
mp-30274,2D,
mp-29607,2D,
mp-559071,2D,
mp-690687,2D,
mp-667327,2D,
mp-676121,2D,
mp-29849,2D,
mp-570340,2D,
mp-569126,2D,
mp-28965,2D,
mp-556094,2D,
mp-756342,2D,
mp-22993,2D,
mp-2284,2D,
mp-779664,2D,
mp-567809,2D,
mp-27384,2D,
mp-25081,2D,
mp-8196,2D,
mp-8200,2D,
mp-560923,2D,
mp-559470,2D,
mp-17588,2D,
mp-14653,2D,
mp-627601,2D,
mp-559562,2D,
mp-28586,2D,
mp-27540,2D,
mp-28361,2D,
mp-757796,2D,
mp-541152,2D,
mp-707135,2D,
mp-29502,2D,
mp-9254,2D,
mp-25469,2D,
mp-27863,2D,
mp-699431,2D,
mp-625056,2D,
mp-721876,2D,
mp-27393,2D,
mp-31220,2D,
mp-11,2D,
mp-1581,2D,
mp-505368,2D,
mp-31107,2D,
mp-707231,2D,
mp-641,2D,
mp-909,2D,
mp-27230,2D,
mp-27404,2D,
mp-626378,2D,
mp-27356,2D,
mp-8140,2D,
mp-28095,2D,
mp-559824,2D,
mp-17407,2D,
mp-505366,2D,
mp-27725,2D,
mp-2793,2D,
mp-560549,2D,
mp-30003,2D,
mp-572670,2D,
mp-768235,2D,
mp-685613,2D,
mp-754008,2D,
mp-21032,2D,
mp-11078,2D,
mp-778080,2D,
mp-722202,2D,
mp-23152,2D,
mp-679989,2D,
mp-569822,2D,
mp-557619,2D,
mp-629690,2D,
mp-28975,2D,
mp-570930,2D,
mp-675543,2D,
mp-570197,2D,
mp-569581,2D,
mp-541837,2D,
mp-29839,2D,
mp-29666,2D,
mp-566831,2D,
mp-34202,2D,
mp-676250,2D,
mp-569044,2D,
mp-23435,2D,
mp-23334,2D,
mp-31406,2D,
mp-23549,2D,
mp-759405,2D,
mp-581990,2D,
mp-542615,2D,
mp-753699,2D,
mp-27607,2D,
mp-28229,2D,
mp-23005,2D,
mp-680214,2D,
mp-580062,2D,
mp-541774,2D,
mp-752602,2D,
mp-22849,2D,
mp-759883,2D,
mp-581609,2D,
mp-755382,2D,
mp-27902,2D,
mp-23224,2D,
mp-33723,2D,
mp-28944,2D,
mp-22965,2D,
mp-559332,2D,
mp-984,2D,
mp-755829,2D,
mp-568286,2D,
mp-625548,2D,
mp-27640,2D,
mp-558759,2D,
mp-559282,2D,
mp-550553,2D,
mp-561079,2D,
mp-27934,2D,
mp-22881,2D,
mp-756998,2D,
mp-697264,2D,
mp-722862,2D,
mp-722381,2D,
mp-644222,2D,
mp-569454,2D,
mp-582042,2D,
mp-630773,2D,
mp-24316,2D,
mp-24407,2D,
mp-5328,2D,
mp-707538,2D,
mp-567556,2D,
mp-559588,2D,
mp-557049,2D,
mp-565932,2D,
mp-574262,2D,
mp-610469,2D,
mp-754112,2D,
mp-505610,2D,
mp-680417,2D,
mp-29535,2D,
mp-651900,2D,
mp-571571,2D,
mp-31621,2D,
mp-625953,2D,
mp-774228,2D,
mp-31516,2D,
mp-761554,2D,
mp-782822,2D,
mp-868389,2D,
mp-687088,2D,
mp-561643,2D,
mp-697827,2D,
mp-765936,2D,
mp-765847,2D,
mp-765848,2D,
mp-771662,2D,
mp-773511,2D,
mp-761557,2D,
mp-698579,2D,
mp-687152,2D,
mp-608243,2D,
mp-554833,2D,
mp-616079,2D,
mp-557739,2D,
mp-30033,2D,
mp-23240,2D,
mp-743970,2D,
mp-541780,2D,
mp-744574,2D,
mp-569610,2D,
mp-715480,2D,
mp-25477,2D,
mp-745087,2D,
mp-743618,2D,
mp-676437,2D,
mp-561493,2D,
mp-604908,2D,
mp-560750,2D,
mp-771247,2D,
mp-765852,2D,
mp-705019,2D,
mp-695952,2D,
mp-557959,2D,
mp-570122,2D,
mp-557592,2D,
mp-773333,2D,
mp-27734,2D,
mp-31725,2D,
mp-569890,2D,
mp-24905,2D,
mp-765865,2D,
mp-773306,2D,
mp-572465,2D,
mp-554340,2D,
mp-541449,2D,
mp-24927,2D,
mp-567687,2D,
mp-764219,2D,
mp-768680,2D,
mp-24901,2D,
mp-770751,2D,
mp-542096,2D,
mp-755263,2D,
mp-22998,2D,
mp-3779,2D,
mp-685055,2D,
mp-540922,2D,
mp-557359,2D,
mp-504601,2D,
mp-769228,2D,
mp-553310,2D,
mp-556582,2D,
mp-684621,2D,
mp-685158,2D,
mp-560845,2D,
mp-652196,2D,
mp-680461,2D,
mp-559094,2D,
mp-766274,2D,
mp-28491,2D,
mp-8976,2D,
mp-721072,2D,
mp-680135,2D,
mp-628637,2D,
mp-669425,2D,
mp-572778,2D,
mp-557136,2D,
mp-572313,2D,
mp-2977,2D,
mp-683998,2D,
mp-542302,2D,
mp-554238,2D,
mp-23116,2D,
mp-22917,2D,
mp-21344,2D,
mp-24164,2D,
mp-756758,2D,
mp-733650,2D,
mp-643743,2D,
mp-569687,2D,
mp-24242,2D,
mp-570136,2D,
mp-927,2D,
mp-571015,2D,
mp-559587,2D,
mp-554291,2D,
mp-580226,2D,
mp-29567,2D,
mp-31038,2D,
mp-20826,2D,
mp-31036,2D,
